Team,ELO,Blended,Blended_EloScale
Missouri,1539.24,0.7169926230969011,1499.1157990681254
Cal Baptist,1499.14,0.6956418951548557,1494.388788628928
Utah Valley,1491.98,0.6825704477855031,1491.4947951155423
Saint Joseph's,1515.04,0.6803686771481102,1491.0073272963687
Cincinnati,1541.76,0.6655982990914551,1487.7371937695768
N Dakota St.,1472.87,0.6533541916249109,1485.0263717324963
Texas,1525.61,0.6454749288582379,1483.2819179858914
Hofstra,1491.42,0.6442525948839865,1483.011295575632
Northern Iowa,1491.72,0.6213538080979812,1477.9415478613519
Auburn,1506.75,0.6163058835359978,1476.8239469924006
Yale,1478.39,0.5958323834986926,1472.2911531379737
Stanford,1502.2,0.5916308300056002,1471.3609372091958
Nevada,1483.64,0.5844500027318505,1469.7711157484368
NC State,1502.35,0.5793821092717012,1468.6490938035229
Stephen F. Austin,1443.76,0.5755459111570442,1467.7997668586038
Seton Hall,1491.59,0.5670715961852992,1465.9235696888766
Bradley,1471.97,0.5107546978992688,1453.4551158345687
Indiana,1495.99,0.5080124611864313,1452.8479898572475
SMU,1474.94,0.5025302425260072,1451.6342371033309
California,1465.29,0.49560666483308224,1450.101370209055
Grand Canyon,1476.6,0.49072501235113397,1449.0205816614543
Hawaii,1447.03,0.49051871128237823,1448.9749069983575
UNLV,1485.73,0.47268734218041114,1445.027075893068
Virginia Tech,1475.2,0.46116871772669776,1442.476874411147
Merrimack,1446.05,0.4597498528073682,1442.1627404245362
Wake Forest,1482.19,0.45684781419441023,1441.5202346113554
Wright St.,1443.29,0.4521979259685307,1440.4907582279507
UC Irvine,1442.84,0.4486978418902799,1439.7158462895443
West Virginia,1474.97,0.44761165925183555,1439.4753675253196
Charleston,1456.4,0.44591263538394993,1439.09920688191
Navy,1409.85,0.41297310588261227,1431.8064578834817
Troy,1434.85,0.3984723695309398,1428.596022515823
Robert Morris,1433.89,0.3931469421493279,1427.4169830519509
George Mason,1426.65,0.392955768137116,1427.3746574903175
Baylor,1470.58,0.38480826727277806,1425.5708163405623
Colorado,1454.44,0.3479562553242293,1417.4118511915021
UAB,1432.01,0.3372019074312083,1415.0308590822374
Siena,1409.88,0.33559621227813813,1414.6753612382606
Winthrop,1408.42,0.3301899865114095,1413.4784331660492
Penn,1444.03,0.33000412985537403,1413.4372848569303
UC San Diego,1407.53,0.32712572180231,1412.800010804634
Northwestern,1464.22,0.32442023121214875,1412.201020348779
Tennessee St.,1403.17,0.3126769909992923,1409.6010893662453
Washington,1453.36,0.31176541872022956,1409.399269002513
Kennesaw St.,1409.69,0.28666273856750096,1403.841583500835
USC,1425.07,0.2638353227939406,1398.787637192568
Minnesota,1435.46,0.23638133421016772,1392.70937648945
North Texas,1407.34,0.22752714114301992,1390.7490750340298
Furman,1383.24,0.21971707700770032,1389.0199417324081
